"No.","Time","Source","Destination","Protocol","Length","Info"
"159","7.879085","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2405:200:800::1","DNS","101","Standard query 0xbefc A sadownload.mcafee.com"
"160","7.879949","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2405:200:800::1","DNS","101","Standard query 0x9631 AAAA sadownload.mcafee.com"
"161","7.895845","52.112.89.131","192.168.43.56","UDP","141","3481  >  50049 Len=99"
"162","7.918655","192.168.43.56","52.112.89.131","UDP","158","50037  >  3480 Len=116"
"163","7.918837","192.168.43.56","52.112.89.131","UDP","158","50049  >  3481 Len=116"
"164","7.918950","192.168.43.56","52.112.89.131","UDP","158","50057  >  3481 Len=116"
"165","7.944210","2405:200:800::1","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","DNS","243","Standard query response 0x9631 AAAA sadownload.mcafee.com CNAME sadownload-new.mcafee.com.edgekey.net CNAME e7479.g.akamaiedge.net SOA n0g.akamaiedge.net"
"166","7.944210","2405:200:800::1","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","DNS","201","Standard query response 0xbefc A sadownload.mcafee.com CNAME sadownload-new.mcafee.com.edgekey.net CNAME e7479.g.akamaiedge.net A 49.44.165.167"
"167","7.945589","192.168.43.56","49.44.165.167","TCP","66","61649  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"168","7.951637","192.168.43.56","49.44.165.167","TCP","66","61650  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"169","7.974765","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2404:6800:4009:80c::2004","ICMPv6","94","Echo (ping) request id=0x0001, seq=71, hop limit=128 (reply in 178)"
"170","7.979788","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"171","8.014248","52.112.89.131","192.168.43.56","UDP","129","3479  >  50001 Len=87"
"172","8.014248","49.44.165.167","192.168.43.56","TCP","66","443  >  61649 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1370 SACK_PERM=1 WS=128"
"173","8.014460","192.168.43.56","49.44.165.167","TCP","54","61649  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"174","8.015104","192.168.43.56","49.44.165.167","TLSv1.2","260","Client Hello"
"175","8.022435","49.44.165.167","192.168.43.56","TCP","66","443  >  61650 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1370 SACK_PERM=1 WS=128"
"176","8.022625","192.168.43.56","49.44.165.167","TCP","54","61650  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"177","8.023444","192.168.43.56","49.44.165.167","TLSv1.2","260","Client Hello"
"178","8.028764","2404:6800:4009:80c::2004","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","ICMPv6","94","Echo (ping) reply id=0x0001, seq=71, hop limit=117 (request in 169)"
"179","8.046596","192.168.43.56","52.112.89.131","UDP","177","50001  >  3479 Len=135"
"180","8.094387","49.44.165.167","192.168.43.56","TCP","54","443  >  61649 [ACK] Seq=1 Ack=207 Win=30336 Len=0"
"181","8.094387","49.44.165.167","192.168.43.56","TLSv1.2","1424","Server Hello"
"182","8.098216","49.44.165.167","192.168.43.56","TCP","1424","443  >  61649 [ACK] Seq=1371 Ack=207 Win=30336 Len=1370 [TCP segment of a reassembled PDU]"
"183","8.098380","192.168.43.56","49.44.165.167","TCP","54","61649  >  443 [ACK] Seq=207 Ack=2741 Win=65536 Len=0"
"184","8.100930","49.44.165.167","192.168.43.56","TLSv1.2","1410","Certificate [TCP segment of a reassembled PDU]"
"185","8.101844","49.44.165.167","192.168.43.56","TCP","54","443  >  61650 [ACK] Seq=1 Ack=207 Win=30336 Len=0"
"186","8.110447","49.44.165.167","192.168.43.56","TLSv1.2","1424","Server Hello"
"187","8.110447","49.44.165.167","192.168.43.56","TCP","1424","443  >  61650 [ACK] Seq=1371 Ack=207 Win=30336 Len=1370 [TCP segment of a reassembled PDU]"
"188","8.110673","192.168.43.56","49.44.165.167","TCP","54","61650  >  443 [ACK] Seq=207 Ack=2741 Win=65536 Len=0"
"189","8.113440","49.44.165.167","192.168.43.56","TLSv1.2","1410","Certificate [TCP segment of a reassembled PDU]"
"190","8.114252","49.44.165.167","192.168.43.56","TLSv1.2","581","Certificate Status, Server Key Exchange, Server Hello Done"
"191","8.114456","192.168.43.56","49.44.165.167","TCP","54","61649  >  443 [ACK] Seq=207 Ack=4624 Win=65536 Len=0"
"192","8.116727","49.44.165.167","192.168.43.56","TLSv1.2","581","Certificate Status, Server Key Exchange, Server Hello Done"
"193","8.116852","192.168.43.56","49.44.165.167","TCP","54","61650  >  443 [ACK] Seq=207 Ack=4624 Win=65536 Len=0"
"194","8.119772","192.168.43.56","49.44.165.167","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"195","8.121593","192.168.43.56","49.44.165.167","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"196","8.177827","49.44.165.167","192.168.43.56","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"197","8.177827","49.44.165.167","192.168.43.56","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"198","8.181000","192.168.43.56","49.44.165.167","TLSv1.2","224","Application Data"
"199","8.212600","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50057"
"200","8.212600","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50049"
"201","8.216254","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50037"
"202","8.221625","192.168.43.56","49.44.165.167","TCP","54","61650  >  443 [ACK] Seq=333 Ack=4898 Win=65280 Len=0"
"203","8.223891","52.112.89.131","192.168.43.56","UDP","81","3479  >  50001 Len=39"
"204","8.225357","52.112.89.131","192.168.43.56","UDP","1257","3479  >  50001 Len=1215"
"205","8.257642","49.44.165.167","192.168.43.56","TCP","1424","443  >  61649 [ACK] Seq=4898 Ack=503 Win=31360 Len=1370 [TCP segment of a reassembled PDU]"
"206","8.257642","49.44.165.167","192.168.43.56","TCP","1424","443  >  61649 [ACK] Seq=6268 Ack=503 Win=31360 Len=1370 [TCP segment of a reassembled PDU]"
"207","8.257830","192.168.43.56","49.44.165.167","TCP","54","61649  >  443 [ACK] Seq=503 Ack=7638 Win=65536 Len=0"
"208","8.261167","49.44.165.167","192.168.43.56","TLSv1.2","1313","Application Data"
"209","8.271320","192.168.43.56","49.44.165.167","TLSv1.2","224","Application Data"
"210","8.286398","192.168.43.56","49.44.165.167","TLSv1.2","247","Application Data"
"211","8.299616","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"212","8.339017","49.44.165.167","192.168.43.56","TCP","1424","443  >  61650 [ACK] Seq=4898 Ack=503 Win=31360 Len=1370 [TCP segment of a reassembled PDU]"
"213","8.342446","49.44.165.167","192.168.43.56","TCP","1424","443  >  61650 [ACK] Seq=6268 Ack=503 Win=31360 Len=1370 [TCP segment of a reassembled PDU]"
"214","8.342446","49.44.165.167","192.168.43.56","TLSv1.2","1313","Application Data"
"215","8.342532","192.168.43.56","49.44.165.167","TCP","54","61650  >  443 [ACK] Seq=503 Ack=8897 Win=65536 Len=0"
"216","8.345719","192.168.43.56","49.44.165.167","TLSv1.2","247","Application Data"
"217","8.348494","49.44.165.167","192.168.43.56","TLSv1.2","1359","Application Data"
"218","8.349612","192.168.43.56","49.44.165.167","TLSv1.2","244","Application Data"
"219","8.366122","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"220","8.417619","49.44.165.167","192.168.43.56","TLSv1.2","1359","Application Data"
"221","8.419767","192.168.43.56","49.44.165.167","TLSv1.2","244","Application Data"
"222","8.422005","49.44.165.167","192.168.43.56","TCP","1424","443  >  61649 [ACK] Seq=10202 Ack=886 Win=33536 Len=1370 [TCP segment of a reassembled PDU]"
"223","8.422005","49.44.165.167","192.168.43.56","TLSv1.2","102","Application Data"
"224","8.422150","192.168.43.56","49.44.165.167","TCP","54","61649  >  443 [ACK] Seq=886 Ack=11620 Win=65536 Len=0"
"225","8.496663","49.44.165.167","192.168.43.56","TCP","1424","443  >  61650 [ACK] Seq=10202 Ack=886 Win=33536 Len=1370 [TCP segment of a reassembled PDU]"
"226","8.496663","49.44.165.167","192.168.43.56","TLSv1.2","102","Application Data"
"227","8.496881","192.168.43.56","49.44.165.167","TCP","54","61650  >  443 [ACK] Seq=886 Ack=11620 Win=65536 Len=0"
"228","8.500716","192.168.43.56","49.44.165.167","TLSv1.2","245","Application Data"
"229","8.541174","192.168.43.56","49.44.165.167","TLSv1.2","245","Application Data"
"230","8.576649","49.44.165.167","192.168.43.56","TLSv1.2","1046","Application Data"
"231","8.617608","49.44.165.167","192.168.43.56","TLSv1.2","1046","Application Data"
"232","8.626952","192.168.43.56","49.44.165.167","TCP","54","61650  >  443 [ACK] Seq=1077 Ack=12612 Win=64768 Len=0"
"233","8.658007","192.168.43.56","49.44.165.167","TCP","54","61649  >  443 [ACK] Seq=1077 Ack=12612 Win=64768 Len=0"
"234","8.702658","52.112.89.131","192.168.43.56","UDP","141","3480  >  50037 Len=99"
"235","8.709001","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"236","8.919589","192.168.43.56","52.112.89.131","UDP","158","50001  >  3479 Len=116"
"237","8.981595","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2404:6800:4009:80c::2004","ICMPv6","94","Echo (ping) request id=0x0001, seq=72, hop limit=128 (reply in 238)"
"238","9.060197","2404:6800:4009:80c::2004","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","ICMPv6","94","Echo (ping) reply id=0x0001, seq=72, hop limit=117 (request in 237)"
"239","9.129381","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"240","9.145095","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50001"
"241","9.164042","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"242","9.175641","192.168.43.56","52.112.89.131","UDP","141","50057  >  3481 Len=99"
"243","9.286189","192.168.43.56","52.112.89.131","UDP","158","50037  >  3480 Len=116"
"244","9.286385","192.168.43.56","52.112.89.131","UDP","158","50049  >  3481 Len=116"
"245","9.286520","192.168.43.56","52.112.89.131","UDP","158","50057  >  3481 Len=116"
"246","9.308221","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"247","9.471036","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50057"
"248","9.471036","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50049"
"249","9.474459","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50037"
"250","9.500586","52.114.15.138","192.168.43.56","TLSv1.2","756","Application Data"
"251","9.501843","192.168.43.56","52.114.15.138","TLSv1.2","769","Application Data"
"252","9.752831","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"253","9.752831","52.114.15.138","192.168.43.56","TCP","54","443  >  49512 [ACK] Seq=703 Ack=716 Win=2046 Len=0"
"254","9.811753","fe80::4470:eeff:fe29:b066","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","ICMPv6","86","Neighbor Solicitation for 2409:4042:e81:25c5:117c:5fb9:e6be:ac0d from dc:1a:c5:56:f7:dd"
"255","9.812180","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","fe80::4470:eeff:fe29:b066","ICMPv6","86","Neighbor Advertisement 2409:4042:e81:25c5:117c:5fb9:e6be:ac0d (sol, ovr) is at d8:c0:a6:8b:92:eb"
"256","9.853570","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"257","9.894520","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"258","10.002383","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2404:6800:4009:80c::2004","ICMPv6","94","Echo (ping) request id=0x0001, seq=73, hop limit=128 (reply in 260)"
"259","10.013553","52.112.89.131","192.168.43.56","UDP","141","3481  >  50049 Len=99"
"260","10.081770","2404:6800:4009:80c::2004","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","ICMPv6","94","Echo (ping) reply id=0x0001, seq=73, hop limit=117 (request in 258)"
"261","10.094727","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"262","10.114220","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"263","10.232251","192.168.43.56","52.112.89.131","UDP","158","50001  >  3479 Len=116"
"264","10.553645","192.168.43.56","52.112.89.131","UDP","158","50037  >  3480 Len=116"
"265","10.553984","192.168.43.56","52.112.89.131","UDP","158","50049  >  3481 Len=116"
"266","10.554224","192.168.43.56","52.112.89.131","UDP","158","50057  >  3481 Len=116"
"267","10.624138","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50001"
"268","10.760626","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"269","10.879503","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50057"
"270","10.879503","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50049"
"271","10.894425","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50037"
"272","11.094031","192.168.43.56","52.112.89.131","UDP","177","50001  >  3479 Len=135"
"273","11.152457","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"274","11.477382","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"275","11.515053","192.168.43.56","52.112.89.131","UDP","141","50049  >  3481 Len=99"
"276","11.544194","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"277","11.579353","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"278","11.650025","192.168.43.56","52.112.89.131","UDP","93","50057  >  3481 Len=51"
"279","11.650223","192.168.43.56","52.112.89.131","UDP","1269","50057  >  3481 Len=1227"
"280","11.650382","192.168.43.56","52.112.89.131","UDP","1269","50057  >  3481 Len=1227"
"281","11.671992","192.168.43.56","52.112.89.131","UDP","158","50001  >  3479 Len=116"
"282","11.935463","192.168.43.56","52.112.89.131","UDP","158","50037  >  3480 Len=116"
"283","11.935676","192.168.43.56","52.112.89.131","UDP","158","50049  >  3481 Len=116"
"284","11.935831","192.168.43.56","52.112.89.131","UDP","158","50057  >  3481 Len=116"
"285","11.941680","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"286","11.981591","52.112.89.131","192.168.43.56","UDP","129","3481  >  50057 Len=87"
"287","11.981591","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50001"
"288","11.981850","52.112.89.131","192.168.43.56","UDP","129","3479  >  50001 Len=87"
"289","12.005846","192.168.43.56","52.112.89.131","UDP","141","50037  >  3480 Len=99"
"290","12.111334","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"291","12.174684","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"292","12.223834","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"293","12.231549","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50057"
"294","12.231549","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50049"
"295","12.238435","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50037"
"296","12.312831","52.112.89.131","192.168.43.56","UDP","81","3479  >  50001 Len=39"
"297","12.312831","52.112.89.131","192.168.43.56","UDP","1257","3479  >  50001 Len=1215"
"298","12.344091","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2405:200:800::1","DNS","109","Standard query 0xc3ec A context-enroll.ccs.mcafee.com"
"299","12.344475","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","2405:200:800::1","DNS","109","Standard query 0x6fd6 AAAA context-enroll.ccs.mcafee.com"
"300","12.423640","2405:200:800::1","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","DNS","109","Standard query response 0x6fd6 AAAA context-enroll.ccs.mcafee.com"
"301","12.423640","2405:200:800::1","2409:4042:e81:25c5:117c:5fb9:e6be:ac0d","DNS","125","Standard query response 0xc3ec A context-enroll.ccs.mcafee.com A 161.69.17.48"
"302","12.432215","192.168.43.56","161.69.17.48","TCP","66","61651  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"303","12.533552","52.112.89.131","192.168.43.56","UDP","141","3480  >  50037 Len=99"
"304","12.593676","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"305","12.600418","192.168.43.56","52.112.89.131","UDP","141","50057  >  3481 Len=99"
"306","12.738942","161.69.17.48","192.168.43.56","TCP","62","443  >  61651 [SYN, ACK] Seq=0 Ack=1 Win=4110 Len=0 MSS=1370 SACK_PERM=1"
"307","12.739220","192.168.43.56","161.69.17.48","TCP","54","61651  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"308","12.740503","192.168.43.56","161.69.17.48","TLSv1.2","268","Client Hello"
"309","12.831650","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"310","12.831650","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"311","13.003441","192.168.43.56","52.112.89.131","UDP","158","50001  >  3479 Len=116"
"312","13.094223","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"313","13.102548","161.69.17.48","192.168.43.56","TLSv1.2","1424","Server Hello"
"314","13.105813","161.69.17.48","192.168.43.56","TCP","1424","443  >  61651 [ACK] Seq=1371 Ack=215 Win=4110 Len=1370 [TCP segment of a reassembled PDU]"
"315","13.105956","192.168.43.56","161.69.17.48","TCP","54","61651  >  443 [ACK] Seq=215 Ack=2741 Win=64390 Len=0"
"316","13.109344","161.69.17.48","192.168.43.56","TCP","1424","443  >  61651 [PSH, ACK] Seq=2741 Ack=215 Win=4110 Len=1370 [TCP segment of a reassembled PDU]"
"317","13.160156","192.168.43.56","161.69.17.48","TCP","54","61651  >  443 [ACK] Seq=215 Ack=4111 Win=64390 Len=0"
"318","13.237687","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"319","13.255072","52.112.89.131","192.168.43.56","UDP","141","3481  >  50049 Len=99"
"320","13.258713","52.112.89.131","192.168.43.56","UDP","117","3480  >  50037 Len=75"
"321","13.269729","192.168.43.56","52.112.89.131","UDP","158","50037  >  3480 Len=116"
"322","13.270095","192.168.43.56","52.112.89.131","UDP","158","50049  >  3481 Len=116"
"323","13.270483","192.168.43.56","52.112.89.131","UDP","158","50057  >  3481 Len=116"
"324","13.293821","52.112.89.131","192.168.43.56","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.35.218.94:50001"
"325","13.310783","192.168.43.56","52.112.89.131","UDP","145","50037  >  3480 Len=103"
"326","13.412448","161.69.17.48","192.168.43.56","TLSv1.2","837","Certificate, Server Hello Done"
